"Ensembl","GeneName","GSM776959","GSM776960","GSM776961","GSM776962","GSM776963","GSM776964","GSM776965","GSM776966","GSM776971","GSM776972","GSM776973","GSM776974"
"ENSG00000114166","KAT2B","329","346.9","462.3","313.7","261","344.8","218.3","310.8","340.3","403.5","201.7","262.1"
"ENSG00000119401","TRIM32","484.4","576.2","373.1","451.6","757","862.5","719","518.1","521.2","1010.6","380.4","826.9"
"ENSG00000105127","AKAP8","339.8","483.4","261.1","110.3","274.7","206.8","295.3","301.6","232.9","300.5","261.8","274.4"
"ENSG00000130294","KIF1A","73","50.3","45.7","92.1","37.5","16.5","5.5","24.1","58.9","26.1","74.1","54"
"ENSG00000167779","IGFBP6","466.9","413.4","1131.2","2429.9","1416.7","929.2","975.5","1402","1638.1","261.6","1582.6","1015.2"
"ENSG00000172062","SMN1","365.8","307.7","644.8","334","318.5","172.4","462.7","250.9","886.3","403.5","563.6","298.6"
"ENSG00000205571","SMN2","365.8","307.7","644.8","334","318.5","172.4","462.7","250.9","886.3","403.5","563.6","298.6"
"ENSG00000277773","SMN2","365.8","307.7","644.8","334","318.5","172.4","462.7","250.9","886.3","403.5","563.6","298.6"
"ENSG00000273772","SMN2","365.8","307.7","644.8","334","318.5","172.4","462.7","250.9","886.3","403.5","563.6","298.6"
"ENSG00000275349","SMN1","365.8","307.7","644.8","334","318.5","172.4","462.7","250.9","886.3","403.5","563.6","298.6"
"ENSG00000033327","GAB2","241.5","167","195.3","392.8","252.7","142","336.2","199.8","264","391.1","203.5","344"
"ENSG00000205403","CFI","232.2","179.3","574.4","258.2","19.7","34.8","3.3","6.4","48.9","18.6","75.2","6.8"
"ENSG00000085433","WDR47","691.9","1057","558.3","633","651.3","489.2","556.6","446","639.3","615.5","368.2","543.2"
"ENSG00000100749","VRK1","1372.5","1213.1","856.6","239.1","254.1","305","367.9","289.3","150.7","159","143.2","197.6"
"ENSG00000065485","PDIA5","285.5","375.8","466.6","533.2","1725.7","1632.8","1670.1","1745.5","1395.5","1336.7","2275.9","1247.6"
"ENSG00000006695","COX10","185.6","541","213.5","280.7","315.1","344.9","351.4","352.3","231.2","365.4","205.5","398.8"
"ENSG00000099864","PALM","40.4","169.6","134","109.2","39","82.5","70.1","76.1","102.5","43","136.7","69.4"
"ENSG00000175198","PCCA","315.8","477.8","432","566.1","285.9","525.6","256.8","467.8","480.6","488.3","222.2","269.1"
"ENSG00000077522","ACTN2","3.5","6.7","2.1","3.8","10.4","18.1","13.8","4.2","7.4","12.9","15.1","9.2"
"ENSG00000197381","ADARB1","718.6","434.3","890.4","829.9","339.1","446.2","361.9","369.6","149.8","304.7","132.4","479.4"
"ENSG00000073536","NLE1","61.6","69.5","37.4","14.9","54.8","27.3","51.9","61.8","50.1","57.9","62.9","91.1"
"ENSG00000162692","VCAM1","2254.8","579.4","4055","3961.3","3136.1","1737.5","822.5","2326.6","656.6","1168.3","1740.1","731.5"
"ENSG00000109189","USP46","538.7","304.5","332.2","350.6","155.7","146.1","210.4","153.5","167.2","236","203.7","127.4"
"ENSG00000161956","SENP3","156.5","184.6","157.3","158.5","278.2","170.4","416","284","191.3","270.5","187.6","326.7"
"ENSG00000143632","ACTA1","76.6","51.2","9.7","21.3","72.1","45.5","46.3","85.8","30.5","18","21.4","36.3"
"ENSG00000102038","SMARCA1","547","513.1","1182.1","1493.4","1957.7","2202.7","1618.4","1658.9","1972.6","1741.3","1493.1","1667.5"
"ENSG00000099953","MMP11","7.1","76.4","5.6","24.3","18.2","4.3","68","5.8","66.6","383.1","7.5","73"
"ENSG00000275365","MMP11","7.1","76.4","5.6","24.3","18.2","4.3","68","5.8","66.6","383.1","7.5","73"
"ENSG00000171608","PIK3CD","265.8","166.5","456.3","901.2","648.5","927.2","720.2","661.2","846.2","858.8","1262.8","526.2"
"ENSG00000138495","COX17","429.9","745.6","941.7","654.2","386.5","563.1","709.5","552.5","560.6","530.9","659.7","573.8"
"ENSG00000205105","COX17P1","429.9","745.6","941.7","654.2","386.5","563.1","709.5","552.5","560.6","530.9","659.7","573.8"
"ENSG00000198947","DMD","1589.9","1670.5","1037.5","877.5","597.8","195.1","247.7","517.8","16.4","68","255.4","306.9"
"ENSG00000213928","IRF9","279.4","220.2","115.1","216.3","422.6","185.9","177.5","592.6","309.8","282.4","376","436.2"
"ENSG00000284845","AL136295.10","279.4","220.2","115.1","216.3","422.6","185.9","177.5","592.6","309.8","282.4","376","436.2"
